Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
DAAG,/usr/local/lib/R/site-library,1.22.1,NA,"R (>= 2.10.0), lattice","latticeExtra, methods",NA,"leaps, oz, lme4, quantreg, knitr, boot, rpart, randomForest,
MASS, survival",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
dada2,/usr/local/lib/R/site-library,1.12.1,NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods (>= 3.4.0)","Biostrings (>= 2.42.1), ggplot2 (>= 2.1.0), reshape2 (>=
1.4.1), ShortRead (>= 1.32.0), RcppParallel (>= 4.3.0),
parallel (>= 3.2.0), IRanges (>= 2.6.0), XVector (>= 0.16.0),
BiocGenerics (>= 0.22.0)","Rcpp, RcppParallel","BiocStyle, knitr, rmarkdown",NA,LGPL-3,NA,NA,NA,NA,yes,3.6.1
data.table,/usr/local/lib/R/site-library,1.12.2,NA,R (>= 3.1.0),methods,NA,"bit64, curl, R.utils, knitr, xts, nanotime, zoo",NA,MPL-2.0 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
date,/usr/local/lib/R/site-library,1.2-38,NA,NA,graphics,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
DBI,/usr/local/lib/R/site-library,1.0.0,NA,"R (>= 3.0.0), methods",NA,NA,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown,
RSQLite (>= 1.1-2), testthat, xml2",NA,LGPL (>= 2),NA,NA,NA,NA,no,3.6.1
dbplyr,/usr/local/lib/R/site-library,1.4.2,NA,R (>= 3.1),"assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils",NA,"bit64, covr, knitr, Lahman, nycflights13, RMariaDB (>=
1.0.2), rmarkdown, RMySQL (>= 0.10.11), RPostgreSQL (>= 0.4.1),
RSQLite (>= 2.1.0), testthat (>= 2.0.0), withr (>= 2.1.2)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ddalpha,/usr/local/lib/R/site-library,1.3.9,NA,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry",Rcpp (>= 0.11.0),"BH, Rcpp",NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
DECIPHER,/usr/local/lib/R/site-library,2.12.0,NA,"R (>= 3.3.0), Biostrings (>= 2.35.12), RSQLite (>= 1.1),
stats, parallel","methods, DBI, S4Vectors, IRanges, XVector","Biostrings, S4Vectors, IRanges, XVector",NA,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
degreenet,/usr/local/lib/R/site-library,1.3-3,NA,NA,"igraph, network",NA,NA,NA,GPL-3 + file LICENSE,NA,NA,NA,NA,yes,3.6.1
DelayedArray,/usr/local/lib/R/site-library,0.10.0,NA,"R (>= 3.4), methods, stats4, matrixStats, BiocGenerics (>=
0.27.1), S4Vectors (>= 0.21.7), IRanges (>= 2.17.3),
BiocParallel","stats, Matrix",S4Vectors,"Matrix, HDF5Array, genefilter, SummarizedExperiment, airway,
pryr, DelayedMatrixStats, knitr, BiocStyle, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
deldir,/usr/local/lib/R/site-library,0.1-23,NA,R (>= 0.99),"graphics, grDevices",NA,polyclip,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
dendextend,/usr/local/lib/R/site-library,1.12.0,NA,R (>= 3.0.0),"utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
profdpm, microbenchmark, gplots, heatmaply, d3heatmap,
dynamicTreeCut, pvclust, corrplot, DendSer, MASS, cluster, fpc,
circlize (>= 0.2.5), covr","ggdendro, dendroextras, Hmisc, data.table, rpart",GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
denstrip,/usr/local/lib/R/site-library,1.5.4,NA,R (>= 2.15),lattice,NA,NA,survival,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
DEoptimR,/usr/local/lib/R/site-library,1.0-8,NA,NA,stats,NA,NA,robustbase,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
desc,/usr/local/lib/R/site-library,1.2.0,NA,R (>= 3.1.0),"assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
DESeq2,/usr/local/lib/R/site-library,1.24.0,NA,"S4Vectors (>= 0.9.25), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, genefilter,
methods, locfit, geneplotter, ggplot2, Hmisc, Rcpp (>= 0.11.0)","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer, IHW,
apeglm, ashr, tximport, tximportData, readr, pbapply, airway,
pasilla (>= 0.2.10)",NA,LGPL (>= 3),NA,NA,NA,NA,yes,3.6.1
deSolve,/usr/local/lib/R/site-library,1.24,NA,R (>= 2.15.0),"methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
Devore7,/usr/local/lib/R/site-library,0.7.6,NA,"R(>= 2.4.0), MASS, lattice",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
devtools,/usr/local/lib/R/site-library,2.1.0,NA,"R (>= 3.0.2), usethis (>= 1.5.0)","callr, cli, digest, git2r (>= 0.23.0), httr (>= 0.4),
jsonlite, memoise (>= 1.0.0), pkgbuild (>= 1.0.3), pkgload (>=
1.0.2), rcmdcheck (>= 1.3.3), remotes (>= 2.1.0), roxygen2 (>=
6.1.1), rstudioapi (>= 0.7), sessioninfo (>= 1.1.1), stats,
testthat (>= 2.1.1), tools, utils, withr",NA,"BiocManager, bitops, covr (>= 3.2.0), crayon, curl (>= 0.9),
evaluate, foghorn (>= 1.1.0), gmailr (> 0.7.0), knitr, lintr
(>= 0.2.1), mockery, pingr, MASS, pkgdown, Rcpp (>= 0.10.0),
rhub (>= 1.0.2), rmarkdown, rversions, spelling (>= 1.1),
whisker",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
dfoptim,/usr/local/lib/R/site-library,2018.2-1,NA,R (>= 2.10.1),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
dichromat,/usr/local/lib/R/site-library,2.0-0,NA,"R (>= 2.10), stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.1
digest,/usr/local/lib/R/site-library,0.6.20,NA,R (>= 3.1.0),NA,NA,"tinytest, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
dimRed,/usr/local/lib/R/site-library,0.2.3,NA,"R (>= 3.0.0), DRR","magrittr, methods",NA,"NMF, MASS, Matrix, RANN, RSpectra, Rtsne, cccd, coRanking,
diffusionMap, energy, fastICA, ggplot2, graphics, igraph,
keras, kernlab, knitr, lle, loe, optimx, pcaL1, pcaPP,
reticulate, rgl, scales, scatterplot3d, stats, tensorflow,
testthat, tidyr, tinytex, umap, vegan",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
diptest,/usr/local/lib/R/site-library,0.75-7,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
dismo,/usr/local/lib/R/site-library,1.1-4,NA,"R (>= 3.2.0), methods, raster (>= 2.5-2), sp (>= 1.2-0)",NA,NA,"rJava (>= 0.9-7), rgdal, rgeos, XML, ROCR, deldir, gstat,
randomForest, kernlab, maptools, jsonlite, gbm (>= 2.1.1)",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
DistributionUtils,/usr/local/lib/R/site-library,0.6-0,NA,R (>= 3.0.1),NA,NA,"GeneralizedHyperbolic, VarianceGamma, SkewHyperbolic, RUnit",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
doParallel,/usr/local/lib/R/site-library,1.0.15,NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit",compiler,GPL-2,NA,NA,NA,NA,no,3.6.1
doRedis,/usr/local/lib/R/site-library,1.1.1,NA,"R (>= 2.5), rredis (>= 1.6.8), foreach(>= 1.3.0), iterators(>=
1.0.0), utils",NA,NA,boot,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
doRNG,/usr/local/lib/R/site-library,1.7.1,NA,"R (>= 3.0.0), foreach, rngtools (>= 1.3)","stats, utils, iterators, pkgmaker (>= 0.20)",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
bibtex, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
dotCall64,/usr/local/lib/R/site-library,1.0-0,NA,R (>= 3.1),NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
downloader,/usr/local/lib/R/site-library,0.4,NA,NA,"utils, digest",NA,testthat,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
dplyr,/usr/local/lib/R/site-library,0.8.3,NA,R (>= 3.2.0),"assertthat (>= 0.2.0), glue (>= 1.3.0), magrittr (>= 1.5),
methods, pkgconfig, R6, Rcpp (>= 1.0.1), rlang (>= 0.4.0),
tibble (>= 2.0.0), tidyselect (>= 0.2.5), utils","BH, plogr (>= 0.2.0), Rcpp (>= 1.0.1)","bit64, callr, covr, crayon (>= 1.3.4), DBI, dbplyr, dtplyr,
ggplot2, hms, knitr, Lahman, lubridate, MASS, mgcv,
microbenchmark, nycflights13, rmarkdown, RMySQL, RPostgreSQL,
RSQLite, testthat, withr, broom, purrr, readr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
DRR,/usr/local/lib/R/site-library,0.0.3,NA,"kernlab, CVST, Matrix","stats, methods",NA,"knitr, rmarkdown",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.6.1
dynamicTreeCut,/usr/local/lib/R/site-library,1.63-1,NA,"R (>= 2.3.0), stats",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
dynlm,/usr/local/lib/R/site-library,0.3-6,NA,"R (>= 2.10.0), zoo","stats, car (>= 2.0-0), lmtest",NA,"datasets, sandwich, strucchange, TSA",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
e1071,/usr/local/lib/R/site-library,1.7-2,NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
earth,/usr/local/lib/R/site-library,5.1.1,NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.5.4),
TeachingDemos (>= 2.10)",NA,NA,"gam (>= 1.16), mgcv (>= 1.8-26), mda (>= 0.4-10), MASS (>=
7.3-51)",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
edgeR,/usr/local/lib/R/site-library,3.26.7,NA,"R (>= 3.6.0), limma (>= 3.34.5)","graphics, stats, utils, methods, locfit, Rcpp",Rcpp,"AnnotationDbi, jsonlite, org.Hs.eg.db, readr, rhdf5, splines",NA,GPL (>=2),NA,NA,NA,NA,yes,3.6.1
effects,/usr/local/lib/R/site-library,4.1-1,NA,"R (>= 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr, betareg, alr4",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
eiPack,/usr/local/lib/R/site-library,0.1-9,NA,R (>= 2.0.0),"MASS, coda, msm",NA,lattice,NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.6.1
ellipse,/usr/local/lib/R/site-library,0.4.1,NA,"R (>= 2.0.0),graphics,stats",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
ellipsis,/usr/local/lib/R/site-library,0.2.0.1,NA,R (>= 3.1),rlang (>= 0.3.0),NA,"covr, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
emdbook,/usr/local/lib/R/site-library,1.3.11,NA,NA,"MASS, lattice, plyr, coda, bbmle",NA,"R2jags, ellipse, SuppDists, numDeriv, testthat, rgl",NA,GPL,NA,NA,NA,NA,no,3.6.1
emmeans,/usr/local/lib/R/site-library,1.4,NA,R (>= 3.2),"estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, plyr, mvtnorm, xtable (>= 1.8-2)",NA,"bayesplot, biglm, brms, car, coda (>= 0.17), ggplot2,
lattice, mediation, mgcv, multcomp, multcompView, nlme, ordinal
(>= 2014.11-12), pbkrtest (>= 0.4-1), lme4, lmerTest (>=
2.0.32), MASS, MuMIn, rsm, knitr, rmarkdown, scales, testthat","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival",GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
estimability,/usr/local/lib/R/site-library,1.3,NA,stats,NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
evaluate,/usr/local/lib/R/site-library,0.14,NA,R (>= 3.0.2),methods,NA,"testthat, lattice, ggplot2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
evd,/usr/local/lib/R/site-library,2.3-3,NA,NA,"stats, grDevices, graphics",NA,akima,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
expm,/usr/local/lib/R/site-library,0.999-4,NA,Matrix,methods,NA,"RColorBrewer, sfsmisc, Rmpfr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
Fahrmeir,/usr/local/lib/R/site-library,2016.5.31,NA,"stats, R (>= 2.1.0)",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
fansi,/usr/local/lib/R/site-library,0.4.0,NA,R (>= 3.1.0),NA,NA,"unitizer, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
faraway,/usr/local/lib/R/site-library,1.0.7,NA,R (>= 2.10),"lme4,nlme,methods",NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.1
fastcluster,/usr/local/lib/R/site-library,1.1.25,NA,R (>= 3.0.0),NA,NA,NA,"stats, flashClust",FreeBSD | GPL-2 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
fastICA,/usr/local/lib/R/site-library,1.2-2,NA,R (>= 3.0.0),NA,NA,MASS,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
fastmatch,/usr/local/lib/R/site-library,1.1-0,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
fastR,/usr/local/lib/R/site-library,0.10.3,NA,"R (>= 3.0.0), mosaic, mosaicCalc","lattice, grid, mosaicData",NA,"MASS, faraway, Hmisc, DAAG, multcomp, vcd, car, alr3,
corrgram, BradleyTerry2, cubature, Devore7, knitr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
fdrtool,/usr/local/lib/R/site-library,1.2.15,NA,R (>= 3.0.2),"graphics, grDevices, stats",NA,,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
feather,/usr/local/lib/R/site-library,0.3.3,NA,NA,"Rcpp, tibble, hms",Rcpp,testthat,NA,Apache License 2.0,NA,NA,NA,NA,yes,3.6.1
FGN,/usr/local/lib/R/site-library,2.0-12,NA,R (>= 2.1.0),"akima, ltsa",NA,NA,NA,CC BY-NC-SA 3.0,NA,NA,NA,NA,yes,3.4.3
fields,/usr/local/lib/R/site-library,9.8-6,NA,"R (>= 3.0), methods, spam, maps",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
filehash,/usr/local/lib/R/site-library,2.4-2,NA,"R (>= 3.0.0), methods",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
fishMod,/usr/local/lib/R/site-library,0.29,NA,NA,NA,NA,NA,NA,GPL,NA,NA,NA,NA,yes,3.6.1
fit.models,/usr/local/lib/R/site-library,0.5-14,NA,NA,"lattice, stats",NA,MASS,NA,GPL,NA,NA,NA,NA,no,3.6.1
fitdistrplus,/usr/local/lib/R/site-library,1.0-14,NA,"R (>= 3.2.0), MASS, grDevices, survival, methods, npsurv",stats,NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, knitcitations,
ggplot2, GeneralizedHyperbolic",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
flexmix,/usr/local/lib/R/site-library,2.3-15,NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
FMStable,/usr/local/lib/R/site-library,0.1-2,NA,NA,NA,NA,NA,NA,GPL-3,NA,NA,NA,NA,NA,3.6.1
fontcm,/usr/local/lib/R/site-library,1.1,NA,R (>= 2.14),NA,NA,extrafont,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
forcats,/usr/local/lib/R/site-library,0.4.0,NA,R (>= 3.1),"ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
foreach,/usr/local/lib/R/site-library,1.4.7,NA,R (>= 2.5.0),"codetools, utils, iterators",NA,randomForest,"compiler, doMC, RUnit, doParallel",Apache License (== 2.0),NA,NA,NA,NA,no,3.6.1
foreign,/usr/local/lib/R/site-library,0.8-72,recommended,R (>= 3.0.0),"methods, utils, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
formatR,/usr/local/lib/R/site-library,1.7,NA,R (>= 3.0.2),NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,GPL,NA,NA,NA,NA,no,3.6.1
formattable,/usr/local/lib/R/site-library,0.2.0.1,NA,R (> 3.0.2),"methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
Formula,/usr/local/lib/R/site-library,1.2-3,NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
forward,/usr/local/lib/R/site-library,1.0.4,NA,"R (>= 3.5), MASS",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
fpc,/usr/local/lib/R/site-library,2.2-3,NA,R (>= 2.0),"MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, EMMIXskew, mvtnorm",NA,GPL,NA,NA,NA,NA,no,3.6.1
fs,/usr/local/lib/R/site-library,1.3.1,NA,R (>= 3.1),"methods, Rcpp",Rcpp,"testthat, covr, pillar (>= 1.0.0), crayon, rmarkdown, knitr,
withr, spelling",NA,GPL-3,NA,NA,NA,NA,yes,3.6.2
futile.logger,/usr/local/lib/R/site-library,1.4.3,NA,R (>= 3.0.0),"utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,LGPL-3,NA,NA,NA,NA,no,3.6.1
futile.options,/usr/local/lib/R/site-library,1.0.1,NA,R (>= 2.8.0),NA,NA,NA,NA,LGPL-3,NA,NA,NA,NA,no,3.6.1
GA,/usr/local/lib/R/site-library,3.2,NA,"R (>= 3.4), methods, foreach, iterators","stats, graphics, grDevices, utils, cli, crayon, Rcpp","Rcpp, RcppArmadillo","parallel, doParallel, doRNG (>= 1.6), knitr (>= 1.8)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
gam,/usr/local/lib/R/site-library,1.16.1,NA,"stats, splines, foreach",NA,NA,akima,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
gamair,/usr/local/lib/R/site-library,1.0-2,NA,R (>= 2.10),NA,NA,"mgcv, lattice, MASS, nlme, lme4, geoR, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
GAMBoost,/usr/local/lib/R/site-library,1.2-3,NA,"R (>= 2.14.0), Matrix",NA,NA,"parallel, snowfall",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
gamlss,/usr/local/lib/R/site-library,5.1-4,NA,"R (>= 3.3.0), graphics, stats, splines, utils, grDevices,
gamlss.data (>= 5.0-0), gamlss.dist (>= 4.3.1), nlme, parallel","MASS, survival, methods",NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
gamlss.data,/usr/local/lib/R/site-library,5.1-4,NA,R (>= 2.10),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
gamlss.dist,/usr/local/lib/R/site-library,5.1-4,NA,"R (>= 2.15.0), MASS, graphics, stats, methods, grDevices",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
gamm4,/usr/local/lib/R/site-library,0.2-5,NA,"R (>= 2.9.0), methods, Matrix, lme4 (>= 0.999375-31), mgcv (>=
1.7-23)",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gargle,/usr/local/lib/R/site-library,0.3.1,NA,R (>= 3.2),"fs (>= 1.3.1), glue (>= 1.3.0), httr (>= 1.4.0), jsonlite,
rlang, stats, withr",NA,"covr, knitr, rmarkdown, sodium, testthat (>= 2.1.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
gbm,/usr/local/lib/R/site-library,2.1.5,NA,R (>= 2.9.0),"gridExtra, lattice, parallel, survival",NA,"knitr, pdp, RUnit, splines, viridis",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.6.1
gbRd,/usr/local/lib/R/site-library,0.4-11,NA,tools,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
gclus,/usr/local/lib/R/site-library,1.3.2,NA,"R (>= 2.10), cluster",NA,NA,"knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gdata,/usr/local/lib/R/site-library,2.18.0,NA,R (>= 2.3.0),"gtools, stats, methods, utils",NA,RUnit,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gdtools,/usr/local/lib/R/site-library,0.1.9,NA,NA,"Rcpp (>= 0.12.12), withr",Rcpp,"htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
gee,/usr/local/lib/R/site-library,4.13-19,NA,stats,NA,NA,MASS,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
geepack,/usr/local/lib/R/site-library,1.2-1,NA,NA,NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
geigen,/usr/local/lib/R/site-library,2.3,NA,R (>= 3.5.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
genefilter,/usr/local/lib/R/site-library,1.66.0,NA,NA,"S4Vectors (>= 0.9.42), AnnotationDbi, annotate, Biobase,
graphics, methods, stats, survival",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, DESeq, pasilla,
RColorBrewer, BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
geneplotter,/usr/local/lib/R/site-library,1.62.0,NA,"R (>= 2.10), methods, Biobase, BiocGenerics, lattice, annotate","AnnotationDbi, graphics, grDevices, grid, RColorBrewer, stats,
utils",NA,"Rgraphviz, fibroEset, hgu95av2.db, hu6800.db, hgu133a.db",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
GeneralizedHyperbolic,/usr/local/lib/R/site-library,0.8-4,NA,R (>= 3.0.1),"DistributionUtils, MASS",NA,"VarianceGamma, actuar, SkewHyperbolic, RUnit",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
generics,/usr/local/lib/R/site-library,0.0.2,NA,R (>= 3.1),methods,NA,"covr, pkgload, testthat, tibble",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
GenomeInfoDb,/usr/local/lib/R/site-library,1.20.0,NA,"R (>= 3.1), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.25), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, BSgenome,
GenomicFeatures, BSgenome.Scerevisiae.UCSC.sacCer2,
BSgenome.Celegans.UCSC.ce2, BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, RUnit, BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
GenomeInfoDbData,/usr/local/lib/R/site-library,1.2.1,NA,R (>= 3.5.0),NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
GenomicAlignments,/usr/local/lib/R/site-library,1.20.1,NA,"R (>= 2.10), methods, BiocGenerics (>= 0.15.3), S4Vectors (>=
0.19.11), IRanges (>= 2.15.12), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.33.4), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.47.6), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
GenomicRanges,/usr/local/lib/R/site-library,1.36.0,NA,"R (>= 2.10), methods, stats4, BiocGenerics (>= 0.25.3),
S4Vectors (>= 0.19.11), IRanges (>= 2.17.1), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.19.8)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGG.db, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
GenSA,/usr/local/lib/R/site-library,1.1.7,NA,R (>= 2.12.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
